SMB/Brand/Trding,,,,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays
Trading,Online,Display - Affiperf,O2_OnePlus3T_20170331_20170430_DIS_DRS_GBR_75497_0,,,,,,,,,,,,"2,399","4,285",
Trading,Online,Display - Affiperf,O2_PrecPlus_2016-09-28_2016-12-31_DIS_DRS_PREC_GBR,,,"9,125","14,625","11,848","15,001","1,931","2,701","29,122","41,285","28,933","12,883","6,051",
Trading,Online,Display - Affiperf,O2_PrecProgPAYGHandsets_20170405_20181231_DIS_DRS_,,,,,,,,,,,,,0,
Trading,Online,Display - Affiperf,O2_PrecProgPAYMHandsetsAndroid_DIS_DRS_GBR_76038,,,,,,,,,,,,,"7,591",
Trading,Online,Display - Affiperf,O2_PrecProgPAYMHandsetsiPhone_DIS_DRS_GBR_76052,,,,,,,,,,,,"4,887","15,454",
Trading,Online,Display - Affiperf,O2_PrecProgPAYMSIM_20170227_20181231_DIS_GBR_74935,,,,,,,,0,0,453,"11,588","18,915","15,592",
Trading,Online,Display - Affiperf,O2_PrecProgPAYMTablets_20170411_20181231_DIS_DRS_G,,,,,,,,,,,,,0,
Trading,Online,Display - Affiperf,O2_PrecRTG2016_2016-04-06_2017-04-30_DIS_DRS_PREC_,,,,,,,,,,,90,213,169,
Trading,Online,Display - Affiperf,O2_PrecRTG_2015-06-05_2015-12-31_DIS_DRS_PREC_GBR_,,,10,15,16,13,15,13,13,11,8,5,0,
Trading,Online,Display - Affiperf,O2_PrecisionPlus_20160928_20161231_DIS_DRS_GBR_686,"2,458","15,253","4,519",,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_PrecisionRe-Targeting_20150605_20151231_DIS_DRS,2,13,4,,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_Q1FREESIM2016_20160101_20160330_DIS_DRS_FREESIM,,0,,,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_Q1PrecRTG17_2017-01-05_2017-12-31_DIS_DRS_Prec_,,,"18,902","31,909","27,265","24,836","1,931","2,701","25,029","28,122","19,261","10,280","5,610",
Trading,Online,Display - Affiperf,O2_Q1PrecisionRTG2017_20170105_20171231_DIS_DRS_GB,"4,116","50,247","20,637",,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_Q1Simo17_2017-01-01_2017-04-30_DIS_DRS_Q1_GBR_7,,,"18,089","13,220","12,495","8,212","1,931","2,701","8,780","8,442","8,976","12,035","8,108",
Trading,Online,Display - Affiperf,O2_Q1Simo2017_20170101_20170430_DIS_DRS_GBR_72021_,"2,865","19,288","5,358",,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_Q2PrecRTG16_2016-06-22_2016-12-31_DIS_DRS_PREC_,,,"7,752","10,804","9,981","11,231","1,931","2,701","11,522","7,674","8,186",,,
Trading,Online,Display - Affiperf,O2_Q3PrecRTG_2016-07-05_2016-12-31_DIS_DRS_PREC_GB,,,"3,178","5,010","4,586","6,862","4,573","6,577","6,561","3,988","2,403","5,262","3,309",
Trading,Online,Display - Affiperf,O2_Q3SIMO_2016-06-22_2016-09-30_DIS_DRS_SIMO_GBR_6,,,0,0,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_Q4PrecRTG_2016-09-27_2017-12-31_DIS_DRS_PREC_GB,,,"7,727","11,544","11,652","13,437","1,931","2,701","14,338","11,041","11,007","18,364","15,252",
Trading,Online,Display - Affiperf,O2_Q4PrecisionRTG_20160927_20171231_DIS_DRS_GBR_68,"2,616","15,165","3,457",,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_SIMOViewability_20170101_20170531_DIS_DRS_GBR_7,,,,,,,"1,931","2,701","7,575","7,000","7,196",0,,
SMB,Online,Display - Affiperf,O2_SMBFlagships17_20170217_20170501_DIS_DRS_RTG_74,,,,,,0,946,"10,773","4,232",801,707,0,0,
SMB,Online,Display - Affiperf,O2_SMBJanSale_2016-12-22_2017-01-31_DIS_DRS_GBR_72,,,0,0,0,,,,,,,,,
SMB,Online,Display - Affiperf,O2_SMBJanSale_20161222_20170131_DIS_DRS_GBR_72143_,"1,498","4,213",417,,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_SamsungASeries_20170203_20170228_DIS_DRS_GBR_73,,,"1,855","10,784","15,687","15,918","2,472",0,,,,,,
Trading,Online,Display - Affiperf,O2_SamsungDream_20170321_20170328_DIS_DRS_GBR_7566,,,,,,,,,0,"6,620","25,234","17,157","11,885",
Trading,Online,Display - Affiperf,O2_SonyBATB_20170307_20170322_DIS_DRS_GBR_75274_06,,,,,,,,"1,992","18,229","15,565",0,0,0,
Trading,Online,Display - Affiperf,O2_SpeedtoRefresh_20170223_20170721_DIS_DRS_GBR_74,,,,,,116,106,82,82,80,94,96,56,
Trading,Online,Paid Search,Connected Devices,70,557,369,,,,,,,,,,,
Trading,Online,Paid Search,FreeSim,"1,983","30,683","33,458","32,873","34,684","29,992","35,508","28,386","31,866","35,455","44,495","28,294","26,686",
Trading,Online,Paid Search,International SIM,62,509,609,616,597,825,992,759,862,824,896,692,625,
Trading,Online,Paid Search,N/A,161,"1,119","1,154","1,078",693,989,"1,763","1,384","1,307","1,152",330,326,286,
Trading,Online,Paid Search,Pay Monthly Handsets,"11,139","105,494","109,204","91,192","116,926","118,820","137,922","110,577","137,338","102,466","264,816","200,889","102,436",
Trading,Online,Paid Search,SIMO,"3,650","20,429","19,810","29,420","34,622","31,332","42,066","42,631","53,912","43,309","32,200","30,204","34,314",
Trading,Online,Paid Search,SMB,514,"5,679","6,178","7,095","5,796","6,129","8,696","7,441","6,623","6,941","7,329","6,071","5,355",
Trading,Online,Paid Search,Tablet,153,"1,183",817,589,498,416,481,403,652,743,839,359,442,
Trading,Online,Paid Search,Trading Mobile BB,173,"1,234","1,043",854,820,828,"1,123",875,"1,297","1,129","1,407",889,811,
Trading,Online,Paid Search,Trading Tablet,"2,961","18,931","16,899","9,773","10,588","10,450","13,769","17,930","24,137","27,874","20,783","14,307","16,488",
Trading,Online,Paid Social,N/A,"20,474","145,134","113,482","89,386","110,106","137,796","61,940","139,745","149,531","195,652","200,182","82,494","29,070",
Trading,Online,Standard Display,Affiliate Window Fusepump Creative Hub,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trading,Online,Standard Display,O2_DirectLoad1stParty_20160527_20200120_DIS_DRS_GB,,,,,,,,,,,,,,
SMB,Online,Standard Display,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,,,46,107,253,220,116,419,125,119,119,0,,
SMB,Online,Standard Display,O2_Enterprise2016_20160414_20161231_DIS_DRS_GBR_61,13,213,64,,,,,,,,,,,
Trading,Online,Standard Display,O2_JanSale_2016-12-22_2017-01-31_DIS_DRS_JS_GBR_72,,,0,0,0,0,,,,,,,,
Trading,Online,Standard Display,O2_JanSale_20161222_20170131_DIS_DRS_GBR_72035_061,"6,679","59,962","14,881",,,,,,,,,,,
