Reclassified,Media Channel Off/On (copy),Media Channel (copy 2),Campaign (copy),Week Start,Date,Value
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,20/02/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,27/02/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,06/03/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,13/03/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,20/03/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,27/03/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,03/04/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,10/04/2017,917
Brand,Offline,OOH,O2 Slough Station Domination,Mondays,17/04/2017,917
Trading,Offline,OOH,O2 Sony Handsets,Mondays,06/03/2017,27945
Trading,Offline,OOH,O2 Sony Handsets,Mondays,13/03/2017,32603
Trading,Offline,OOH,O2 Sony Handsets,Mondays,20/03/2017,4658
Trading,Offline,OOH,O2 Speed To Refresh Burst 1,Mondays,27/03/2017,40869
Trading,Offline,OOH,O2 Speed To Refresh Burst 1,Mondays,03/04/2017,47681
Trading,Offline,OOH,O2 Speed To Refresh Burst 1,Mondays,10/04/2017,6812
Brand,Offline,OOH,O2 T1 Brand - Family,Mondays,27/03/2017,52213
Brand,Offline,OOH,O2 T1 Brand - Family,Mondays,03/04/2017,42569
Brand,Offline,OOH,O2 T1 Brand - Family,Mondays,10/04/2017,19196
Brand,Offline,OOH,O2 T1 Brand - Family,Mondays,17/04/2017,15300
Brand,Offline,OOH,O2 T1 Brand - Hero,Mondays,27/02/2017,109286
Brand,Offline,OOH,O2 T1 Brand - Hero,Mondays,06/03/2017,248986
Brand,Offline,OOH,O2 T1 Brand - Hero,Mondays,13/03/2017,159942
Brand,Offline,OOH,O2 T1 Brand - Hero,Mondays,20/03/2017,20247
Brand,Offline,OOH,O2 T1 Brand - O10,Mondays,06/03/2017,50481
Brand,Offline,OOH,O2 T1 Brand - O10,Mondays,13/03/2017,58894
Brand,Offline,OOH,O2 T1 Brand - O10,Mondays,20/03/2017,8413
Brand,Offline,OOH,O2 T1 Brand - War Child,Mondays,23/01/2017,7854
Brand,Offline,OOH,O2 T1 Brand - War Child,Mondays,30/01/2017,13379
Brand,Offline,OOH,O2 T1 Brand - War Child,Mondays,06/02/2017,2244
Brand,Offline,OOH,O2 T1 Brand - War Child,Mondays,13/02/2017,12571
Brand,Offline,OOH,O2 T1 Brand - War Child,Mondays,20/02/2017,12571
Trading,Offline,Press,CPAYG January,Mondays,23/01/2017,36451
Trading,Offline,Press,January Sale 2016/17 - 06136,Mondays,23/01/2017,101030
Trading,Offline,Press,January Sale 2016/17 - 06136,Mondays,30/01/2017,13231
Trading,Offline,Press,January Sale 2016/17 - 06136,Mondays,06/02/2017,35377
Trading,Offline,Press,SMB Jan Sale,Mondays,23/01/2017,11622
Trading,Offline,Press,SMB Jan Sale,Mondays,30/01/2017,37494
Trading,Offline,Press,SMB Simo,Mondays,06/02/2017,11401
Trading,Offline,Press,SMB Simo,Mondays,13/02/2017,12630
Trading,Offline,Press,SMB Simo,Mondays,20/02/2017,15061
Trading,Offline,Press,SMB Simo,Mondays,27/02/2017,20556
Trading,Offline,Press,SMB Simo,Mondays,06/03/2017,25970
